Bedrooms,Sqft Area,Price per Sqft (INR),Toilets,Locality,Renovation Type,Total Renovation Cost (INR),House Age (years),Material Quality,Energy Efficiency Rating
1,2719,196208,1,Urban,luxury,10194840,1,high,5
4,2219,141004,3,Urban,luxury,10202344,22,medium,4
2,2470,236120,2,Urban,luxury,10212988,17,low,2
1,2652,108236,1,Urban,moderate,10215820,7,high,3
2,2489,153244,2,Urban,luxury,10219888,25,low,2
5,2103,145620,4,Urban,moderate,10283840,45,medium,1
3,2365,236248,3,Urban,moderate,10294236,4,medium,2
5,2636,57640,4,Rural,moderate,10303236,36,high,1
3,2403,159580,2,Urban,necessity,10337552,6,medium,1
4,2895,24972,3,Rural,moderate,10340536,31,low,3
3,2526,131060,2,Urban,moderate,10456100,19,medium,4
1,2806,126244,1,Urban,moderate,10615188,44,low,2
4,2997,43600,4,Rural,luxury,10859500,39,low,1
2,2714,109148,1,Urban,necessity,10880504,27,medium,2
2,2692,83872,2,Urban,luxury,10998540,10,high,4
4,2390,115620,4,Urban,moderate,11060916,26,medium,4
1,2943,207560,1,Urban,luxury,11309896,19,low,5
2,2849,202636,1,Urban,luxury,11317428,39,low,4
3,2665,137152,3,Urban,luxury,11333260,3,medium,3
4,2581,188328,3,Urban,moderate,11336376,45,high,1
2,2876,223936,2,Urban,necessity,11346012,13,high,5
4,2555,203244,3,Urban,moderate,11347212,50,low,3
2,2934,142340,1,Urban,necessity,11406908,28,low,2
5,2444,219328,4,Urban,luxury,11510484,20,high,1
4,2622,168168,3,Urban,luxury,11671152,28,medium,4
5,2548,151112,4,Urban,necessity,11678568,8,low,1
5,2469,218124,4,Urban,luxury,11708864,41,low,2
5,2538,135040,4,Urban,moderate,11734632,39,high,5
4,2724,85740,3,Urban,moderate,11834392,1,medium,5
4,2645,145340,4,Urban,moderate,11972440,3,high,5
3,2982,217800,2,Urban,moderate,12000000,13,medium,4
5,2692,126612,4,Urban,luxury,12000000,28,medium,3
5,2817,173996,4,Urban,luxury,12000000,49,medium,3
3,2969,153236,3,Urban,luxury,12000000,25,low,1
5,2836,106552,4,Urban,moderate,12000000,33,high,4
4,629,134676,4,Urban,luxury,4800000,38,high,5
2,594,40368,2,Rural,moderate,4800000,6,medium,5
2,1293,29424,2,Rural,moderate,4800000,44,low,2
4,510,176356,3,Urban,necessity,4800000,45,low,2
5,1211,6684,4,Rural,moderate,4800000,32,high,5
1,1314,38624,1,Rural,necessity,4800000,45,low,5
3,1484,13420,3,Rural,necessity,4800000,47,low,4
1,855,224236,1,Urban,moderate,4800000,21,medium,3
1,626,148348,1,Urban,moderate,4800000,16,low,2
5,1103,38948,4,Rural,luxury,4800000,21,medium,3
1,550,52108,1,Rural,luxury,4800000,11,high,4
1,2292,23356,1,Rural,luxury,4800000,37,low,5
4,1831,26796,4,Rural,necessity,4806796,36,high,3
3,1153,14120,3,Rural,necessity,4809344,35,high,5
4,1023,41696,3,Rural,moderate,4830248,19,low,5
4,1777,18864,4,Rural,necessity,4831572,20,low,1
1,1453,54368,1,Rural,luxury,4838904,18,high,3
4,1002,45360,4,Rural,luxury,4841708,47,low,3
2,1260,47024,2,Rural,necessity,4878104,41,medium,5
4,1025,47016,3,Rural,moderate,4883216,49,medium,4
4,1041,31056,3,Rural,luxury,4901888,14,low,1
3,864,145476,3,Urban,moderate,4910944,15,high,5
1,1526,52540,1,Rural,necessity,4922772,31,low,2
3,857,162680,3,Urban,moderate,4923612,1,low,2
5,1660,29720,4,Rural,luxury,4928856,3,high,1
4,1752,30100,4,Rural,moderate,4930656,16,high,4
4,732,214648,4,Urban,necessity,4932968,23,medium,5
3,1528,234260,3,Urban,luxury,4942008,11,high,3
2,1077,126888,1,Urban,necessity,4958512,12,medium,1
4,1762,22464,4,Rural,necessity,4973072,10,high,4
2,1818,151096,1,Urban,moderate,4975980,32,low,3
5,1323,101180,4,Urban,necessity,4981660,16,medium,2
4,1031,37144,3,Rural,moderate,4985224,8,medium,2
5,1796,8048,4,Rural,necessity,4988336,38,medium,3
4,1528,206300,4,Urban,necessity,5009352,12,low,1
1,1263,215024,1,Urban,luxury,5020140,24,low,2
2,2130,53316,2,Rural,luxury,5029156,28,low,5
1,2406,18852,1,Rural,moderate,5036196,8,low,3
3,977,182444,2,Urban,necessity,5056016,28,low,3
5,970,52832,4,Rural,necessity,5057380,36,medium,2
3,904,139436,3,Urban,luxury,5064328,26,low,1
3,2192,42800,2,Rural,necessity,5077044,8,medium,5
3,1672,156516,2,Urban,necessity,5119616,50,low,1
3,1184,55472,3,Rural,necessity,5131568,28,high,4
5,1865,16692,4,Rural,necessity,5136220,28,medium,4
3,1198,10668,3,Rural,luxury,5162760,37,high,2
1,1989,116832,1,Urban,luxury,5165252,41,medium,2
2,2261,17068,1,Rural,moderate,5172944,36,high,2
1,1930,188832,1,Urban,necessity,5176252,27,low,4
3,1601,200060,3,Urban,moderate,5176624,17,low,1
3,1752,202244,3,Urban,luxury,5205988,9,low,1
2,1133,87312,2,Urban,luxury,5206336,33,medium,2
2,1419,49916,2,Rural,necessity,5219064,20,high,5
1,1958,141128,1,Urban,necessity,5258652,13,low,1
1,2019,112980,1,Urban,luxury,5260508,28,high,4
2,1515,9200,1,Rural,moderate,5269704,48,high,3
5,764,160576,4,Urban,necessity,5271480,29,low,3
3,1297,48520,3,Rural,moderate,5300164,13,low,3
5,1847,35844,4,Rural,luxury,5312056,46,high,5
4,1171,13712,4,Rural,luxury,5324724,35,low,2
4,1705,111624,3,Urban,moderate,5373648,6,low,4
2,1842,223692,2,Urban,necessity,5377152,18,low,5
4,1656,208492,4,Urban,necessity,5378256,5,medium,4
5,735,93368,4,Urban,luxury,5387068,47,high,4
4,845,228832,4,Urban,necessity,5412944,25,high,2
2,1915,236252,2,Urban,moderate,5415824,2,medium,3
5,1074,31628,4,Rural,luxury,5426872,10,high,2
4,1217,25800,4,Rural,necessity,5433092,30,low,5
5,760,98592,4,Urban,luxury,5440120,50,high,5
3,2154,30196,3,Rural,luxury,5447068,45,low,5
3,1805,150600,2,Urban,necessity,5455416,5,medium,2
3,1835,80420,2,Urban,moderate,5459368,33,low,4
1,2055,162780,1,Urban,necessity,5466396,1,high,4
3,2176,28236,3,Rural,luxury,5475244,18,high,1
2,1166,126144,2,Urban,moderate,5502712,32,high,5
2,1253,152096,2,Urban,luxury,5565644,47,medium,4
1,1433,119612,1,Urban,moderate,5574856,49,medium,1
4,2117,11192,4,Rural,luxury,5578864,11,high,4
1,2688,28144,1,Rural,moderate,5619264,21,low,5
1,1776,16332,1,Rural,necessity,5624468,26,medium,3
5,2026,20428,4,Rural,luxury,5627612,25,high,5
2,2432,13172,2,Rural,moderate,5634888,22,high,2
4,895,181120,4,Urban,luxury,5637204,27,medium,4
5,1100,24312,4,Rural,moderate,5655844,49,medium,4
5,1697,139596,4,Urban,moderate,5664128,13,medium,2
4,1717,126372,3,Urban,necessity,5666616,33,low,2
3,1535,47312,2,Rural,necessity,5676200,34,low,3
2,1992,178228,2,Urban,necessity,5688780,41,high,4
1,2717,32040,1,Rural,necessity,5690592,35,medium,4
5,873,122824,4,Urban,moderate,5709500,1,low,3
4,1004,138652,4,Urban,luxury,5729232,21,medium,1
3,2469,49572,2,Rural,luxury,5752064,48,high,3
3,2401,24040,2,Rural,luxury,5760988,6,low,5
5,1714,167016,4,Urban,necessity,5763100,28,low,4
3,2352,7852,3,Rural,moderate,5776308,17,low,2
5,2199,43536,4,Rural,necessity,5786512,5,high,5
5,1228,51492,4,Rural,necessity,5787816,31,medium,4
1,2701,46632,1,Rural,moderate,5791564,5,low,3
3,1928,147868,3,Urban,moderate,5798580,38,high,5
2,1327,112500,2,Urban,luxury,5798852,3,medium,4
4,2375,44424,3,Rural,luxury,5804480,23,high,1
1,1754,12176,1,Rural,luxury,5810692,37,medium,1
5,862,223360,4,Urban,moderate,5814212,37,high,2
5,2104,11536,4,Rural,necessity,5817636,10,medium,4
1,2824,25740,1,Rural,luxury,5819620,10,low,1
2,1350,179804,1,Urban,luxury,5845732,19,medium,3
3,1138,189696,3,Urban,luxury,5867640,17,high,4
1,2365,225948,1,Urban,moderate,5870364,21,high,3
5,2183,33520,4,Rural,luxury,5933328,14,medium,3
1,2871,28028,1,Rural,necessity,5946900,9,low,1
5,1691,232788,4,Urban,moderate,5956148,46,low,4
3,1993,141396,3,Urban,necessity,5956304,1,medium,5
4,2435,21020,3,Rural,luxury,6014880,45,medium,1
2,2743,55188,2,Rural,luxury,6050696,13,high,1
2,1750,31576,1,Rural,luxury,6103472,4,low,4
3,2650,31120,3,Rural,moderate,6107556,1,medium,4
3,2494,18440,3,Rural,luxury,6110252,49,low,3
4,1152,150696,3,Urban,necessity,6127456,40,medium,4
3,2105,177452,3,Urban,luxury,6127924,32,medium,3
2,2843,25792,2,Rural,moderate,6148672,34,low,1
3,2680,56124,3,Rural,luxury,6186092,28,medium,2
3,2704,10196,3,Rural,luxury,6188412,31,medium,5
5,1394,5624,4,Rural,moderate,6230856,8,high,1
4,2609,5952,3,Rural,luxury,6233476,39,medium,4
2,2886,52160,1,Rural,luxury,6245608,26,medium,5
2,2763,31172,2,Rural,necessity,6274972,34,medium,2
5,2476,25120,4,Rural,moderate,6306756,3,high,2
2,2324,101780,2,Urban,luxury,6311680,50,low,3
3,2765,23192,3,Rural,moderate,6334348,12,high,5
2,2400,87876,2,Urban,luxury,6336748,1,high,3
5,1328,36848,4,Rural,luxury,6350044,44,low,1
1,1644,167216,1,Urban,moderate,6351424,5,high,5
5,2356,52228,4,Rural,moderate,6353812,30,low,1
5,1428,24188,4,Rural,moderate,6358756,30,high,3
4,2560,53516,4,Rural,luxury,6373304,17,low,5
2,1858,50172,2,Rural,moderate,6379768,48,medium,3
1,2428,111392,1,Urban,necessity,6380880,47,high,5
2,2775,35032,2,Rural,moderate,6383996,23,high,3
3,1655,23040,3,Rural,necessity,6386900,15,high,2
3,1709,53124,3,Rural,luxury,6396660,37,high,3
5,1971,231784,4,Urban,luxury,6407992,21,medium,2
4,2081,212248,4,Urban,moderate,6409892,14,high,3
4,2139,187936,4,Urban,luxury,6470144,2,medium,5
5,1428,54444,4,Rural,luxury,6484184,11,medium,5
2,2328,159900,2,Urban,necessity,6487616,39,medium,5
4,1184,232004,4,Urban,necessity,6489924,38,medium,4
3,2862,37812,3,Rural,necessity,6491680,34,low,1
1,2494,186464,1,Urban,luxury,6499688,38,low,5
4,2637,48552,3,Rural,moderate,6529152,50,high,2
4,2535,26772,4,Rural,moderate,6533940,34,low,5
1,1640,92080,1,Urban,moderate,6537700,18,low,4
5,2458,21724,4,Rural,necessity,6538924,30,high,2
4,1562,23580,4,Rural,necessity,6612828,15,high,4
2,1884,40824,1,Rural,luxury,6616468,27,high,2
3,1376,229244,3,Urban,luxury,6621840,34,low,3
4,2594,33244,4,Rural,necessity,6621996,38,low,1
3,2761,44240,3,Rural,moderate,6632912,33,high,1
4,2183,150408,4,Urban,luxury,6641556,24,medium,4
4,2633,46796,4,Rural,luxury,6645264,15,high,1
5,1095,212156,4,Urban,necessity,6647260,30,medium,4
3,2338,84544,3,Urban,moderate,6649776,42,medium,4
1,2656,140608,1,Urban,necessity,6666624,17,high,4
5,2687,41300,4,Rural,necessity,6674156,5,high,1
5,2690,39200,4,Rural,moderate,6689408,29,high,4
1,2136,27108,1,Rural,moderate,6692056,4,low,1
2,2442,220532,2,Urban,moderate,6708424,10,medium,4
2,2562,97880,1,Urban,moderate,6713192,17,low,5
1,2693,197028,1,Urban,luxury,6720348,10,low,4
4,1581,56712,4,Rural,luxury,6724832,17,high,2
1,2040,48324,1,Rural,moderate,6740304,20,low,4
4,1189,171444,4,Urban,luxury,6751540,24,high,3
2,2539,212568,1,Urban,necessity,6785188,5,medium,4
5,2570,4652,4,Rural,moderate,6786732,34,high,2
2,2642,202828,1,Urban,necessity,6796184,6,low,2
3,2393,89412,3,Urban,moderate,6800800,2,low,1
3,1401,82100,3,Urban,luxury,6806284,13,high,5
5,2173,202092,4,Urban,moderate,6812332,43,high,4
5,1549,13972,4,Rural,moderate,6831668,43,low,1
2,1973,48952,1,Rural,moderate,6839096,48,medium,5
1,2658,149736,1,Urban,luxury,6874356,11,medium,4
3,1513,166368,2,Urban,luxury,6890216,47,high,3
2,2642,196964,2,Urban,moderate,6910356,23,medium,4
4,2302,213356,3,Urban,necessity,6930048,16,low,2
4,2274,238740,4,Urban,moderate,6931640,31,high,2
1,2119,38936,1,Rural,luxury,6941648,11,low,3
5,1579,17496,4,Rural,moderate,6996112,16,low,1
1,1756,158492,1,Urban,necessity,7013432,8,medium,5
3,2521,131212,3,Urban,luxury,7018952,4,high,4
4,2255,145236,4,Urban,luxury,7024848,40,high,2
1,1746,115784,1,Urban,necessity,7039896,4,medium,1
4,1752,21432,4,Rural,moderate,7045064,25,low,3
1,1748,183568,1,Urban,moderate,7058772,3,low,2
1,2233,37740,1,Rural,necessity,7076404,32,low,3
4,2310,178312,3,Urban,necessity,7076640,3,low,4
5,1223,128012,4,Urban,luxury,7084072,27,high,5
5,2865,53320,4,Rural,moderate,7102992,29,high,2
3,2497,81124,3,Urban,luxury,7109176,32,medium,2
3,1960,32908,2,Rural,moderate,7141780,50,medium,4
5,1208,119528,4,Urban,luxury,7148960,19,high,1
3,2594,104616,3,Urban,moderate,7185552,21,high,5
1,1871,91232,1,Urban,luxury,7193932,5,low,2
4,2363,136540,3,Urban,necessity,7229080,18,low,5
2,2158,59540,1,Rural,necessity,7243624,28,medium,2
5,1314,210224,4,Urban,moderate,7243824,42,high,5
1,1896,152352,1,Urban,moderate,7246032,22,medium,3
5,1667,15088,4,Rural,moderate,7266000,21,high,2
4,1853,31148,3,Rural,moderate,7269848,6,low,5
2,2129,54744,2,Rural,necessity,7326264,1,medium,1
4,2417,186892,3,Urban,luxury,7338184,5,medium,3
4,1933,26624,3,Rural,necessity,7343536,41,high,3
4,1853,25888,3,Rural,luxury,7389100,12,low,1
3,2594,120900,2,Urban,luxury,7403484,26,medium,5
3,2731,154556,2,Urban,luxury,7405632,46,low,4
5,2357,116440,4,Urban,luxury,7490600,34,medium,1
3,2042,39708,3,Rural,necessity,7495008,49,low,5
1,2938,122896,1,Urban,moderate,7510456,14,high,1
3,2724,178296,2,Urban,luxury,7525704,26,medium,1
5,1829,30408,4,Rural,necessity,7552016,45,medium,2
2,2897,95048,1,Urban,moderate,7560132,27,low,5
2,1812,193520,1,Urban,moderate,7583728,9,low,4
5,2455,232024,4,Urban,necessity,7599312,26,medium,2
3,1645,116068,2,Urban,necessity,7615276,47,high,1
3,2074,15408,2,Rural,moderate,7679212,22,low,1
2,2182,57868,2,Rural,luxury,7682076,47,low,1
4,2576,189504,3,Urban,luxury,7682864,30,low,5
2,1888,108856,1,Urban,moderate,7687112,43,medium,5
2,2992,195324,1,Urban,luxury,7711056,48,medium,2
5,2552,158304,4,Urban,necessity,7718632,17,medium,4
4,1969,5928,3,Rural,moderate,7729132,26,medium,2
1,2387,37032,1,Rural,moderate,7742108,36,high,3
4,2720,98812,3,Urban,moderate,7761112,1,high,1
4,1492,144004,4,Urban,necessity,7791408,8,medium,1
2,2972,86240,1,Urban,moderate,7797888,49,high,1
2,2897,120724,2,Urban,luxury,7804084,35,low,2
4,2049,26156,3,Rural,necessity,7818680,15,low,2
5,2443,88452,4,Urban,necessity,7823228,47,low,1
5,1450,141592,4,Urban,necessity,7826116,22,medium,2
2,1916,216628,1,Urban,necessity,7878560,14,low,5
2,2408,47608,1,Rural,necessity,7900680,26,high,5
5,2658,198180,4,Urban,luxury,7962452,28,medium,2
4,2628,148700,4,Urban,necessity,8033448,23,high,1
4,1620,175428,4,Urban,luxury,8038000,14,low,2
4,1715,181164,3,Urban,moderate,8111440,24,low,2
5,2031,4592,4,Rural,necessity,8118224,2,low,2
4,2796,184572,3,Urban,necessity,8150880,45,medium,3
1,2575,54972,1,Rural,luxury,8152852,26,high,5
2,1945,136796,2,Urban,luxury,8167836,14,medium,4
1,2070,102896,1,Urban,moderate,8171788,7,medium,4
4,2169,5676,3,Rural,necessity,8173828,3,low,3
1,2133,134028,1,Urban,moderate,8190476,47,medium,2
5,2625,121444,4,Urban,luxury,8203528,23,medium,3
1,2600,13888,1,Rural,moderate,8207208,46,low,3
1,2656,43172,1,Rural,necessity,8259976,43,medium,1
1,2605,23528,1,Rural,necessity,8283540,47,low,5
5,1563,91680,4,Urban,necessity,8294524,45,low,4
4,1669,165152,3,Urban,moderate,8294700,18,low,2
2,1964,224884,2,Urban,luxury,8326180,38,low,4
3,1858,125700,2,Urban,luxury,8349004,35,medium,4
4,1724,186820,3,Urban,moderate,8358168,15,low,5
3,2945,207532,3,Urban,necessity,8374764,25,low,4
5,2073,32180,4,Rural,necessity,8440956,37,medium,4
3,2370,56940,2,Rural,luxury,8443992,28,medium,3
2,2041,134448,2,Urban,necessity,8467804,10,high,5
4,2949,119388,4,Urban,necessity,8567624,39,medium,1
2,2548,16160,1,Rural,luxury,8579164,17,medium,2
4,2323,6520,3,Rural,necessity,8583496,39,high,4
5,2775,227508,4,Urban,moderate,8608108,22,medium,2
5,1641,206340,4,Urban,luxury,8623372,26,medium,1
4,2351,6756,3,Rural,moderate,8644420,44,medium,2
4,2336,6644,3,Rural,luxury,8651668,25,medium,1
2,2581,56488,2,Rural,luxury,8667972,17,high,3
4,2355,44580,3,Rural,moderate,8682184,13,medium,4
1,2253,196036,1,Urban,luxury,8738300,20,medium,1
4,2992,123264,3,Urban,luxury,8738808,25,high,2
1,2786,46104,1,Rural,moderate,8750920,4,low,4
4,2363,46996,3,Rural,necessity,8854432,10,high,3
4,1890,209652,3,Urban,moderate,8880272,3,low,4
5,2910,153760,4,Urban,moderate,8886920,41,high,1
3,2536,36908,3,Rural,luxury,8979736,45,high,3
1,2327,186740,1,Urban,luxury,8993768,18,medium,2
1,2893,19496,1,Rural,moderate,9001244,47,low,3
5,2215,55776,4,Rural,necessity,9026060,36,medium,3
1,2310,168060,1,Urban,luxury,9074668,47,low,5
5,2334,44804,4,Rural,moderate,9079548,22,high,3
2,2272,187152,1,Urban,necessity,9114524,34,high,3
2,2168,106252,2,Urban,luxury,9118720,47,low,4
5,1819,124332,4,Urban,necessity,9187612,8,medium,2
4,2468,46372,4,Rural,luxury,9191604,40,medium,4
2,2319,88200,1,Urban,luxury,9208032,49,medium,4
5,1812,116800,4,Urban,luxury,9294036,44,medium,1
3,2616,37732,3,Rural,necessity,9365852,19,high,4
1,2496,182236,1,Urban,necessity,9382164,42,high,5
3,2146,238992,3,Urban,moderate,9396968,41,high,5
3,2135,93720,3,Urban,necessity,9401904,37,high,1
5,2381,36936,4,Rural,luxury,9406828,6,high,2
5,1824,155400,4,Urban,necessity,9413368,26,medium,2
4,1984,146644,4,Urban,moderate,9449276,34,medium,4
5,1872,105104,4,Urban,necessity,9570516,45,medium,4
1,2517,102504,1,Urban,moderate,9586508,6,medium,4
3,2673,11216,3,Rural,moderate,9586752,37,high,2
